segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[t|tʰ|n|t'] [s|ʃ'|tʰ|ʃ|ʃʰ|t|t']	-cont,+anterior +coronal,-son	0.0042	652	1586	2119	0.0
[tʰ|n|ɲ|t|t'] [s|ʃ'|tʰ|ʃ|ʃʰ|t|t']	-cont,+coronal +coronal,-son	0.0042	652	1586	2119	0.0
[p'|q'|p|pʰ|s|ʃ'|k'|tʰ|q|qʰ|kʰ|k|ʃ|x|ʃʰ|t|h|t'] [ʃʰ|ʃ|ʃ']	-son -anterior,+strid	0.0042	546	4207	561	0.0
[p'|q'|p|k'|q|k|t|t'] [ʃ'|ʎ|ɲ|ʃ|ʃʰ]	-cont,-sg -anterior	0.0042	546	2389	988	0.0
[p'|q'|p|k'|q|k|t|t'] [ʃʰ|ʎ|ʃ|ʃ']	-cont,-sg -anterior,+cont	0.0042	546	2389	988	0.0
[p'|q'|p|pʰ|k'|tʰ|n|q|qʰ|ɴ|kʰ|k|m|ɲ|t|ŋ|t'] [ʃ|ʃ']	-cont -anterior,-sg	0.0042	472	3630	487	0.0
[p|pʰ|tʰ|q|kʰ|k|t|qʰ] [ʃ]	-cg,-cont -cg,-anterior,-sg	0.0042	292	2212	307	0.0
[t|p|k|q] [s|ʃ|ʃ']	-cg,-cont,-sg +cont,-sg	0.0042	472	1843	963	0.0
[t] [s|ʃ]	-cg,-cont,+anterior,-sg -cg,+strid,-sg	0.0041	292	879	783	0.0
[t|s|ʃ] [s|ʃ'|ʃ|x|ʃʰ|h]	-cg,+coronal,-sg -son,+cont	0.0041	546	1662	1449	0.0
[t|tʰ|t'] [ʃʰ|h|s|ʃ]	-cont,+anterior,-son -cg,+cont	0.0041	366	1082	1001	0.0
[p'|q'|p|k'|q|k|t|t'] [ʃʰ|s|ʃ|ʃ']	-cont,-sg +strid	0.004	546	2389	1037	0.0
[t|s|t'] [ʃ']	+anterior,-sg -anterior,+cg	0.004	180	1498	180	0.0
[t|tʰ] [s|ʃ'|ʃ|t|t']	-cg,-cont,+anterior +coronal,-sg	0.004	472	939	1985	0.0
[s|tʰ|n|r|t|l|t'] [ʃ'|ʎ|ɲ|ʃ|ʃʰ]	+anterior -anterior	0.0039	554	2613	988	0.0
[s|tʰ|n|r|t|l|t'] [ʃʰ|ʎ|ʃ|ʃ']	+anterior -anterior,+cont	0.0039	554	2613	988	0.0
[p|s|q|k|ʃ|t] [ʃ'|ʎ|ɲ|ʃ|ʃʰ]	-cg,-sg -anterior	0.0039	550	2626	988	0.0
[p|s|q|k|ʃ|t] [ʃʰ|ʎ|ʃ|ʃ']	-cg,-sg -anterior,+cont	0.0039	550	2626	988	0.0
[s|ʃ'|ʃ|t|t'] [s|ʃ|ʃ']	+coronal,-sg +cont,-sg	0.0039	472	1985	963	0.0
[p'|q'|p|k'|q|k|t|t'] [ʃ]	-cont,-sg -cg,-anterior,-sg	0.0038	292	2389	307	0.0
[t|tʰ] [s|ʃ]	-cg,-cont,+anterior -cg,+strid,-sg	0.0038	292	939	783	0.0
[t|tʰ|s|t'] [ʃ']	+anterior,-son -anterior,+cg	0.0038	180	1558	180	0.0
[t|s] [ʃʰ|s|ʃ]	-cg,+anterior,-sg -cg,+strid	0.0038	366	1355	857	0.0
[s|tʰ|ʃ|ʃʰ|t] [s|ʃ'|ʃ|x|ʃʰ|h]	-cg,+coronal -son,+cont	0.0038	546	1796	1449	0.0
[t] [t'|ʃ']	-cg,-cont,+anterior,-sg +coronal,+cg	0.0038	180	879	323	0.0
[t|tʰ|n|t'] [ʃ']	-cont,+anterior -anterior,+cg	0.0038	180	1586	180	0.0
[tʰ|n|ɲ|t|t'] [ʃ']	-cont,+coronal -anterior,+cg	0.0038	180	1586	180	0.0
[s|tʰ|n|r|t|l|t'] [ʃʰ|s|ʃ|ʃ']	+anterior +strid	0.0038	554	2613	1037	0.0
[t|s] [s|ʃ'|tʰ|ʃ|ʃʰ|t|t']	-cg,+anterior,-sg +coronal,-son	0.0037	570	1355	2119	0.0
[t|s] [s|r|ʃ'|ʎ|ʃ|ʃʰ|l]	-cg,+anterior,-sg +coronal,+cont	0.0037	554	1355	2015	0.0
[t|p|k|q] [s|ʃ'|ʃ|x|ʃʰ|h]	-cg,-cont,-sg -son,+cont	0.0037	546	1843	1449	0.0
[t|tʰ|s] [ʃʰ|s|ʃ]	-cg,+anterior -cg,+strid	0.0037	366	1415	857	0.0
[t] [s|r|ʃ'|w|ʎ|ʃ|x|ʃʰ|l|h|j]	-cg,-cont,+anterior,-sg -syll,+cont	0.0037	546	879	3073	0.0
