ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
m dʲ	0.0	5	12403	5952	0.062
j z	0.0	13	36528	13880	0.0
sʲ k	0.0	7	4787	30932	0.016
sʲ kʲ	0.0	3	4787	5776	0.25
n p	0.0	17	37273	24288	0.0
zʲ mʲ	0.0	2	2018	6233	0.5
l zʲ	0.0	3	14418	2018	0.25
lʲ xʲ	0.0	2	20272	650	0.5
m t	0.0	10	12403	31043	0.002
ts tɕ	0.0	7	14887	12898	0.016
j fʲ	0.0	4	36528	1740	0.125
ʂ xʲ	0.0	1	6618	650	1.0
n j	0.0	17	37273	36528	0.0
x j	0.0	6	4756	36528	0.031
ʂ r	0.0	7	6618	36443	0.016
tɕ mʲ	0.0	4	12898	6233	0.125
j ɡʲ	0.0	4	36528	2211	0.125
f bʲ	0.0	2	5763	3704	0.5
dʲ bʲ	0.0	2	5952	3704	0.5
nʲ ʐ	0.0	4	16518	5455	0.125
v j	0.0	13	27065	36528	0.0
j v	0.0	13	36528	27065	0.0
ʐ v	0.0	5	5455	27065	0.062
b xʲ	0.0	1	9086	650	1.0
f nʲ	0.0	4	5763	16518	0.125
ts ʂ	0.0	4	14887	6618	0.125
n lʲ	0.0	11	37273	20272	0.001
tɕ x	0.0	3	12898	4756	0.25
d f	0.0	3	11859	5763	0.25
ʂ sʲ	0.0	2	6618	4787	0.5
m rʲ	0.0	5	12403	16772	0.062
tʲ b	0.0	6	33763	9086	0.031
k z	0.0	7	30932	13880	0.016
nʲ ɡʲ	0.0	2	16518	2211	0.5
m d	0.0	4	12403	11859	0.125
j pʲ	0.0	5	36528	6309	0.062
mʲ dʲ	0.0	2	6233	5952	0.5
sʲ b	0.0	2	4787	9086	0.5
nʲ dʲ	0.0	3	16518	5952	0.25
n l	0.0	7	37273	14418	0.016
ʂ fʲ	0.0	1	6618	1740	1.0
m ts	0.0	4	12403	14887	0.125
tʲ m	0.0	6	33763	12403	0.031
zʲ kʲ	0.0	1	2018	5776	1.0
ʐ ɡʲ	0.0	1	5455	2211	1.0
lʲ ʐ	0.0	3	20272	5455	0.25
rʲ s	0.0	7	16772	36779	0.016
rʲ m	0.0	4	16772	12403	0.125
k fʲ	0.0	2	30932	1740	0.5
ɡ p	0.0	4	9126	24288	0.125
ts p	0.0	5	14887	24288	0.062
tʲ fʲ	0.0	2	33763	1740	0.5
p ʐ	0.0	3	24288	5455	0.25
m x	0.0	2	12403	4756	0.5
p xʲ	0.0	1	24288	650	1.0
nʲ b	0.0	3	16518	9086	0.25
m ʐ	0.0	2	12403	5455	0.5
l sʲ	0.0	2	14418	4787	0.5
sʲ bʲ	0.0	1	4787	3704	1.0
t s	0.0	8	31043	36779	0.008
p m	0.0	4	24288	12403	0.125
ʐ l	0.0	2	5455	14418	0.5
k xʲ	0.0	1	30932	650	1.0
ɡ ɡʲ	0.0	1	9126	2211	1.0
ts r	0.0	5	14887	36443	0.062
nʲ d	0.0	3	16518	11859	0.25
ɕ mʲ	0.0	1	3580	6233	1.0
j xʲ	0.0	1	36528	650	1.0
l ts	0.0	3	14418	14887	0.25
rʲ kʲ	0.0	2	16772	5776	0.5
ɕ v	0.0	2	3580	27065	0.5
ʂ ts	0.0	2	6618	14887	0.5
ts nʲ	0.0	3	14887	16518	0.25
m ɡʲ	0.0	1	12403	2211	1.0
t ɕ	0.0	2	31043	3580	0.5
n m	0.0	4	37273	12403	0.125
k p	0.0	5	30932	24288	0.062
ʂ x	0.0	1	6618	4756	1.0
