segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[c|ɟ] [j|ɕ|ʂ|ʐ|ʑ]	-back,-strid +cont,-ant	0.0031	19848	19848	103740	0.0
[c|t|ʈ] [ɕ|ʂ]	-strid,-voice +strid,-ant,-voice	0.0031	30075	85286	55732	0.0
[ɖ|ʈ] [ɕ|ʂ]	+back,-strid +strid,-ant,-voice	0.0031	10852	11126	55732	0.0
[c|ɟ] [c|ɕ|ʂ|ʈ]	-back,-strid -ant,-voice	0.0031	17794	19848	84347	0.0
[ɟ] [ʐ|ʑ]	+voice,-back,-strid +strid,+voice,-ant	0.0031	2049	2087	10698	0.0
[c|ɕ|ɟ|ɲ|ʑ] [ɕ|ʑ]	+cons,-back +strid,-back	0.003	19848	74011	28480	0.0
[c|ʈ] [f|s|x|z|ɕ|ʂ|ʐ|ʑ]	-ant,-strid,-voice +cont,-son	0.003	28615	28615	153721	0.0
[c] [c|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ]	-back,-strid,-voice -ant,-son	0.003	17761	17761	97404	0.0
[c|ɕ] [c|j|ɕ|ɟ|ʑ]	-back,-voice -ant,-back	0.0029	25783	43037	85638	0.0
[c|ɕ] [j|ɕ|ʑ]	-back,-voice +cont,-back	0.0029	22579	43037	65790	0.0
[c|d|t|ɖ|ɟ|ʈ] [l|r|s|z|ɕ|ʂ|ʐ|ʑ]	-strid +cons,+cont,+cor	0.0029	61107	106266	195572	0.0
[c|t|ʈ] [l|r|s|z|ɕ|ʂ|ʐ|ʑ]	-strid,-voice +cons,+cont,+cor	0.0029	54717	85286	195572	0.0
[c|ɟ|ɲ] [c|ɕ|ɟ|ʑ]	-back,-cont -back,-son	0.0029	19852	45531	48328	0.0
[c|ɕ|ʂ|ʈ] [ɕ|ʂ]	-ant,-voice +strid,-ant,-voice	0.0028	28628	84347	55732	0.0
[ɖ|ɟ] [ɖ|ɟ|ʐ|ʑ]	+voice,-ant,-strid +voice,-ant	0.0028	2315	2359	13057	0.0
[c] [s|ɕ|ʂ]	-back,-strid,-voice +strid,-voice	0.0028	17756	17761	102227	0.0
[b|c|d|g|k|p|t|ɖ|ɟ|ʈ] [l|r|s|z|ɕ|ʂ|ʐ|ʑ]	-cont,-son +cons,+cont,+cor	0.0028	81684	197231	195572	0.0
[c|ɖ|ɟ|ʈ] [c|ɕ|ɟ|ɲ|ʑ]	-ant,-strid +cons,-back	0.0028	19848	30974	74011	0.0
[c|t|ʈ] [f|l|r|s|x|z|ɕ|ʂ|ʐ|ʑ]	-strid,-voice +cons,+cont	0.0028	56410	85286	217317	0.0
[c] [j|ɕ|ʂ|ʐ|ʑ]	-back,-strid,-voice +cont,-ant	0.0028	17761	17761	103740	0.0
[c|d|t|ɖ|ɟ|ʈ] [f|l|r|s|x|z|ɕ|ʂ|ʐ|ʑ]	-strid +cons,+cont	0.0028	62803	106266	217317	0.0
[b|c|d|g|k|p|t|ɖ|ɟ|ʈ] [s|ɕ|ʂ]	-cont,-son +strid,-voice	0.0028	58497	197231	102227	0.0
[c|k|p|t|ʈ] [s|z|ɕ|ʂ|ʐ|ʑ]	-cont,-voice +strid	0.0027	58407	152638	131976	0.0
[c|ɕ|ɟ|ɲ|ʑ] [ɕ]	+cons,-back +strid,-back,-voice	0.0027	17794	74011	25276	0.0
[c|ʈ] [j|ɕ|ʑ]	-ant,-strid,-voice +cont,-back	0.0027	17761	28615	65790	0.0
[ɖ|ʈ] [ɕ|ʂ|ʐ|ʑ]	+back,-strid +strid,-ant	0.0027	11126	11126	66430	0.0
[b|c|d|g|k|p|t|ɖ|ɟ|ʈ] [j|l|r|s|z|ɕ|ʂ|ʐ|ʑ]	-cont,-son +cont,+cor	0.0027	87274	197231	232882	0.0
[b|c|d|g|k|p|t|ɖ|ɟ|ʈ] [f|l|r|s|x|z|ɕ|ʂ|ʐ|ʑ]	-cont,-son +cons,+cont	0.0027	84144	197231	217317	0.0
[c|k|p|t|ʈ] [l|r|s|z|ɕ|ʂ|ʐ|ʑ]	-cont,-voice +cons,+cont,+cor	0.0027	70032	152638	195572	0.0
[ʈ] [ɕ|ʂ|ʐ|ʑ]	+back,-strid,-voice +strid,-ant	0.0027	10854	10854	66430	0.0
[c|t|ʈ] [c|s|t|ɕ|ʂ|ʈ]	-strid,-voice +cor,-voice	0.0026	50977	85286	187513	0.0
[t] [s]	+ant,-strid,-voice +ant,+strid,-voice	0.0026	20682	56671	46495	0.0
[c|j|ɕ|ɟ|ʑ] [ɕ|ʑ]	-ant,-back +strid,-back	0.0026	19892	85638	28480	0.0
[c|ɟ|ɲ] [c|ɕ]	-back,-cont -back,-voice	0.0026	17794	45531	43037	0.0
[c|t|ʈ] [ɕ|ʂ|ʐ|ʑ]	-strid,-voice +strid,-ant	0.0026	30089	85286	66430	0.0
[ɟ|ʑ] [ɟ|ʑ]	+voice,-back +voice,-back	0.0026	2114	5291	5291	0.0
[c|ɕ|ɟ|ʑ] [c|ɕ|ɟ|ɲ|ʑ]	-back,-son +cons,-back	0.0026	23878	48328	74011	0.0
[c|k|p|t|ʈ] [f|l|r|s|x|z|ɕ|ʂ|ʐ|ʑ]	-cont,-voice +cons,+cont	0.0026	72489	152638	217317	0.0
[c|ɖ|ɟ|ʈ] [l|r|s|z|ɕ|ʂ|ʐ|ʑ]	-ant,-strid +cons,+cont,+cor	0.0026	30974	30974	195572	0.0
[c|k|p|t|ʈ] [f|s|x|z|ɕ|ʂ|ʐ|ʑ]	-cont,-voice +cont,-son	0.0026	60864	152638	153721	0.0
[c|d|n|t|ɖ|ɟ|ɲ|ʈ] [s|ɕ|ʂ]	+cor,-cont +strid,-voice	0.0025	52157	169303	102227	0.0
[c|ɟ] [s|ɕ|ʂ]	-back,-strid +strid,-voice	0.0025	17794	19848	102227	0.0
[b|c|d|g|k|p|t|ɖ|ɟ|ʈ] [s|z|ɕ|ʂ|ʐ|ʑ]	-cont,-son +strid	0.0025	63698	197231	131976	0.0
[c|k|p|t|ʈ] [ɕ|ʂ]	-cont,-voice +strid,-ant,-voice	0.0025	36397	152638	55732	0.0
[c|ɕ|ʂ|ʈ] [c|ɕ|ʂ|ʈ]	-ant,-voice -ant,-voice	0.0025	33180	84347	84347	0.0
[c|d|t|ɖ|ɟ|ʈ] [j|l|r|s|z|ɕ|ʂ|ʐ|ʑ]	-strid +cont,+cor	0.0025	61839	106266	232882	0.0
[ɟ] [ɖ|ɟ|ʐ|ʑ]	+voice,-back,-strid +voice,-ant	0.0025	2049	2087	13057	0.0
[c|d|t|ɖ|ɟ|ʈ] [ɕ|ʂ]	-strid +strid,-ant,-voice	0.0025	30119	106266	55732	0.0
[c|ʈ] [c|s|t|ɕ|ʂ|ʈ]	-ant,-strid,-voice +cor,-voice	0.0025	28602	28615	187513	0.0
[b|c|d|g|k|p|t|ɖ|ɟ|ʈ] [f|s|x|ɕ|ʂ]	-cont,-son +cont,-voice	0.0025	60957	197231	123972	0.0
[c|t|ʈ] [j|l|r|s|z|ɕ|ʂ|ʐ|ʑ]	-strid,-voice +cont,+cor	0.0025	54866	85286	232882	0.0
[c|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ] [ɕ|ʂ]	-ant,-son +strid,-ant,-voice	0.0025	28672	97404	55732	0.0
