segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[c|k|k'|p|s'|t|t'|ʃ'] [s'|ɬ'|ʃ']	-continuant,-voice +cg,+strident	0.002	120	542	120	0.0
[s|s'|t|t'|ɬ'] [s'|ɬ'|ʃ']	+anterior,-sonorant,-voice +cg,+strident	0.002	120	544	120	0.0
[c|t|x] [k'|s'|t'|ɬ'|ʃ']	-cg,-sonorant,-strident,-voice +cg,-voice	0.002	120	307	213	0.0
[c|t|x] [c|k|k'|p|s|s'|t|t'|x|ɬ|ɬ'|ʃ|ʃ']	-cg,-sonorant,-strident,-voice -voice	0.002	247	307	908	0.0
[c|t|x] [c|k|k'|p|s|s'|t|t'|x|ɬ'|ʃ|ʃ']	-cg,-sonorant,-strident,-voice -sonorant,-voice	0.002	239	307	854	0.0
[s'|t|t'] [s|s'|ɬ']	+anterior,-lateral,-voice +anterior,+strident,-voice	0.002	130	379	205	0.0
[c|s'|t|t'] [s|s'|ɬ']	-lateral,-voice +anterior,+strident,-voice	0.002	130	379	205	0.0
[c|k|p|t] [c|s|s'|t|t'|ɬ'|ʃ|ʃ']	-cg,-continuant,-voice +coronal,-sonorant,-voice	0.002	239	357	736	0.0
[c|k|p|t] [c|s|s'|t|t'|ɬ|ɬ'|ʃ|ʃ']	-cg,-continuant,-voice +coronal,-voice	0.002	247	357	790	0.0
[t] [s'|t'|ʃ']	+anterior,-cg,-lateral,-strident,-voice +cg,+coronal,-continuant	0.002	92	300	131	0.0
[c|t] [s'|t'|ʃ']	-cg,-lateral,-voice +cg,+coronal,-continuant	0.002	92	300	131	0.0
[c|s'|t|t'|ʃ'] [s'|ʃ']	+coronal,-continuant,-voice +strident,-continuant	0.002	92	431	92	0.0
[d|t|z] [s|s'|ɬ'|ʃ|ʃ']	+anterior,-cg,-lateral +strident,-voice	0.0019	239	681	397	0.0
[c|d|t|z|ɟ] [s|s'|ɬ'|ʃ|ʃ']	-cg,-lateral +strident,-voice	0.0019	239	681	397	0.0
[d|t] [s'|ɬ'|ʃ']	+anterior,-cg,-continuant +cg,+strident	0.0019	120	568	120	0.0
[c|d|t|ɟ] [s'|ɬ'|ʃ']	-cg,-lateral,-strident +cg,+strident	0.0019	120	568	120	0.0
