segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[s|t] [ɕ]	+ant,+back,-voice -ant,-back,-voice	0.0009	12923	110494	16478	0.0
[s|t] [ɕ|ʑ]	+ant,+back,-voice +strid,-ant,-back	0.0009	12923	110494	16483	0.0
[d|dʲ|t|tʲ] [ɕ|ʑ]	-strid +strid,-ant,-back	0.0009	12905	110402	16483	0.0
[d|dʲ|t|tʲ] [ɕ]	-strid -ant,-back,-voice	0.0009	12900	110402	16478	0.0
[d|s|t|z|ʂ|ʐ] [f|fʲ|k|kʲ|p|pʲ|s|sʲ|t|tʲ|x|xʲ|ɕ|ʂ]	+back,+cor,-son -voice	0.0009	58425	148306	252354	0.0
[k|p|t] [ɕ]	+back,-cont,-voice -ant,-back,-voice	0.0009	13087	114048	16478	0.0
[k|p|t] [ɕ|ʑ]	+back,-cont,-voice +strid,-ant,-back	0.0009	13087	114048	16483	0.0
[b|bʲ|d|dʲ|f|fʲ|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ] [b|bʲ|d|dʲ|f|fʲ|j|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|v|vʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+cons -syll	0.0009	154001	476038	547104	0.0
[s|t] [d|dʲ|s|sʲ|t|tʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+ant,+back,-voice +cor,-son	0.0009	45808	110494	211309	0.0
[d|dʲ|t|tʲ] [s|sʲ|ɕ|ʂ]	-strid +strid,-voice	0.0009	28054	110402	79549	0.0
[b|d|k|p|t|ɡ] [f|fʲ|j|l|lʲ|r|rʲ|s|sʲ|v|vʲ|x|xʲ|z|zʲ|ɕ|ɣ|ʂ|ʐ|ʑ]	+back,-cont,-son +cont	0.0009	59361	144119	272843	0.0
[b|d|k|m|n|p|t|ɡ] [l|lʲ|r|rʲ|s|sʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,-cont +cons,+cont,+cor	0.0009	57238	193795	188812	0.0
[s|t|ʂ] [b|bʲ|d|dʲ|f|fʲ|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+back,+cor,-voice +cons	0.0009	70625	117112	476038	0.0
[d|s|t|z] [s|sʲ|t|tʲ|ɕ|ʂ]	+ant,+back,-son +cor,-voice	0.0009	45801	136233	172140	0.0
[b|d|f|k|p|s|t|x|z|ɡ|ɣ|ʂ|ʐ] [l|lʲ|r|rʲ|s|sʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,-son +cons,+cont,+cor	0.0009	62588	232313	188812	0.0
[b|bʲ|d|dʲ|f|fʲ|k|kʲ|p|pʲ|s|sʲ|t|tʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ] [b|bʲ|d|dʲ|f|fʲ|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	-son +cons	0.0009	115570	315706	476038	0.0
[s|t] [b|bʲ|d|dʲ|f|fʲ|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+ant,+back,-voice +cons	0.0009	68358	110494	476038	0.0
[d|n|t] [f|fʲ|s|sʲ|x|xʲ|ɕ|ʂ]	+ant,+back,-cont +cont,-voice	0.0009	29651	107960	92458	0.0
[k|p|t] [j|l|lʲ|r|rʲ|s|sʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,-cont,-voice +cont,+cor	0.0009	47494	114048	225340	0.0
[b|bʲ|d|dʲ|f|fʲ|j|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|v|vʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ] [b|bʲ|d|dʲ|f|fʲ|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	-syll +cons	0.0009	151103	547104	476038	0.0
[s|t] [f|fʲ|s|sʲ|x|xʲ|ɕ|ʂ]	+ant,+back,-voice +cont,-voice	0.0009	29926	110494	92458	0.0
[d|t] [f|fʲ|l|lʲ|r|rʲ|s|sʲ|x|xʲ|z|zʲ|ɕ|ɣ|ʂ|ʐ|ʑ]	+back,-strid +cons,+cont	0.0009	35264	70687	201777	0.0
[b|bʲ|d|dʲ|f|fʲ|k|kʲ|p|pʲ|s|sʲ|t|tʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ] [b|bʲ|d|dʲ|f|fʲ|j|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|v|vʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	-son -syll	0.0009	122549	315706	547104	0.0
