segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[ʃ|ʎ|f|v|s|r|l|h|ʒ|z] [ɟ|d|v|b|ʒ|z|ɡ]	+cons,+cont +voice	0.0002	7901	125132	70640	0.0
[r] [t|n|ɟ|d|ɲ|c]	-lat +cor,-cont	0.0002	3988	28695	78627	0.0
[n|ʎ|r|ɲ|l] [t|k|p|c]	+cor,+cons,+son -voice,-cont	0.0002	5551	71685	61053	0.0
[t|k|p|c] [t|n|d|s|r|l|z]	-voice,-cont +ant	0.0002	8041	61053	150599	0.0
[ʃ|ʎ|f|v|s|j|r|l|h|ʒ|z] [ɟ|d|v|b|ʒ|z|ɡ]	-syll,+cont +voice	0.0002	8491	145257	70640	0.0
[ʃ|s] [t|ʃ|f|s|p|c|h|k]	-voice,+strid -voice	0.0002	4830	31461	105672	0.0
[ʃ|f|v|s|h|ʒ|z] [t|k|p|c]	-son,+cont -voice,-cont	0.0002	5609	73731	61053	0.0
[r] [t|n|d]	-lat +ant,-cont	0.0002	3965	28695	78431	0.0
[h|ʃ|f|s] [t|ʃ|f|s|r|p|z|b|ʒ|ɟ|d|v|ʎ|h|k|n|j|ɲ|c|l|m|ɡ]	-voice,+cont -syll	0.0002	9772	44619	306794	0.0
[ʃ|f|v|s|h|ʒ|z] [t|ɟ|d|c]	-son,+cont -strid	0.0002	5471	73731	58343	0.0
[n|ɲ|m] [t|ʃ|ɟ|d|s|c|ʒ|z]	+nas +cor,-son	0.0002	6802	58956	113263	0.0
[t|ʃ|ɟ|d|ʎ|s|r|c|l|ʒ|z] [ɡ|ɟ|d|b]	+cor,+cons,-nas +voice,-cont	0.0002	6878	164664	41528	0.0
[ʃ|f|v|s|h|ʒ|z] [t|d]	-son,+cont -strid,+ant	0.0002	5438	73731	58147	0.0
[n|r|l] [t|s]	+ant,+son +ant,-voice	0.0002	4758	69045	47646	0.0
[n|ɲ|m] [t|n|d|s|r|l|z]	+nas +ant	0.0002	7815	58956	150599	0.0
[t|n|d] [ɡ|ɟ|d|b]	+ant,-cont +voice,-cont	0.0002	4730	78431	41528	0.0
[r|l] [d|z]	+ant,+son,+cont +voice,+ant	0.0002	3368	48761	33908	0.0
[t|n|ɟ|d|ɲ|c] [ɡ|ɟ|d|b]	+cor,-cont +voice,-cont	0.0002	4733	78627	41528	0.0
[ʃ|ʎ|s|r|l|ʒ|z] [ɟ|d|v|b|ʒ|z|ɡ]	+cor,+cons,+cont +voice	0.0002	7174	106321	70640	0.0
[t|n|d] [ɟ|d]	+ant,-cont -strid,+voice	0.0002	3759	78431	26295	0.0
[t|n|ɟ|d|ɲ|c] [ɟ|d]	+cor,-cont -strid,+voice	0.0002	3762	78627	26295	0.0
[t|n|d] [d]	+ant,-cont -strid,+voice,+ant	0.0002	3742	78431	26099	0.0
[t|n|ɟ|d|ɲ|c] [d]	+cor,-cont -strid,+voice,+ant	0.0002	3745	78627	26099	0.0
[ʃ|s] [t|ɟ|d|p|b|c|k|ɡ]	-voice,+strid -nas,-cont	0.0002	4692	31461	102581	0.0
[h|ʃ|f|s] [t|ʃ|f|s|r|p|z|b|ʒ|ɟ|d|v|ʎ|h|k|n|ɲ|c|l|m|ɡ]	-voice,+cont +cons	0.0002	9340	44619	286669	0.0
[k] [t|s]	-voice,+dor +ant,-voice	0.0002	2704	22573	47646	0.0
[t|ʃ|ɟ|d|f|v|s|ʎ|j|r|p|ʒ|b|c|l|h|k|z|ɡ] [ɡ|ɟ|d|b]	-syll,-nas +voice,-cont	0.0002	8352	247838	41528	0.0
[ʃ|ʎ|s|r|l|ʒ|z] [ɟ|d]	+cor,+cons,+cont -strid,+voice	0.0002	4351	106321	26295	0.0
[ʃ|ʎ|j|s|r|l|ʒ|z] [ɟ|d|v|b|ʒ|z|ɡ]	+cor,+cont +voice	0.0002	7764	126446	70640	0.0
[t|n|ɟ|d|p|ɲ|b|c|k|m|ɡ] [ɡ|ɟ|d|b]	-cont +voice,-cont	0.0002	6723	161537	41528	0.0
[h|ʃ|f|s] [t|d|s|r|l|z]	-voice,+cont +ant,-nas	0.0002	6251	44619	130315	0.0
[ʃ|f|v|s|h|ʒ|z] [t|n|d|s|r|l|z]	-son,+cont +ant	0.0002	8624	73731	150599	0.0
[h|ʃ|f|s] [t|d|s|z]	-voice,+cont +ant,-son	0.0002	4935	44619	81554	0.0
[n|ʎ|r|ɲ|l] [t|s]	+cor,+cons,+son +ant,-voice	0.0002	4774	71685	47646	0.0
[t|ɟ|d|p|b|c|k|ɡ] [t|c]	-nas,-cont -strid,-voice	0.0002	4676	102581	32048	0.0
[t|ɟ|d|p|b|c|k|ɡ] [t]	-nas,-cont -strid,+ant,-voice	0.0002	4676	102581	32048	0.0
[ʃ|ʎ|s|r|l|ʒ|z] [d]	+cor,+cons,+cont -strid,+voice,+ant	0.0002	4295	106321	26099	0.0
[n|ʎ|j|r|ɲ|l] [ɡ]	+cor,+son +voice,+dor	0.0002	1740	91810	4965	0.0
[ʃ|ʎ|f|v|s|r|l|h|ʒ|z] [ɟ|d]	+cons,+cont -strid,+voice	0.0002	4670	125132	26295	0.0
[t|k|p|c] [t|d]	-voice,-cont -strid,+ant	0.0002	4849	61053	58147	0.0
[t|k|p|c] [t|ɟ|d|c]	-voice,-cont -strid	0.0002	4853	61053	58343	0.0
[k] [t|c]	-voice,+dor -strid,-voice	0.0002	2182	22573	32048	0.0
[k] [t]	-voice,+dor -strid,+ant,-voice	0.0002	2182	22573	32048	0.0
[r] [t|d|s|r|l|z]	-lat +ant,-nas	0.0002	4959	28695	130315	0.0
[ʃ|ʎ|j|s|r|l|ʒ|z] [ɟ|d]	+cor,+cont -strid,+voice	0.0002	4671	126446	26295	0.0
[n|r|l] [t|c]	+ant,+son -strid,-voice	0.0002	3800	69045	32048	0.0
[n|r|l] [t]	+ant,+son -strid,+ant,-voice	0.0002	3800	69045	32048	0.0
[r|z|s|l] [t|ʃ|s|c]	+ant,+cont +cor,-voice	0.0002	5467	72168	63509	0.0
[ʃ|ʎ|f|v|s|j|r|l|h|ʒ|z] [ɟ|d]	-syll,+cont -strid,+voice	0.0002	4990	145257	26295	0.0
[ʃ|ʎ|f|v|s|r|l|h|ʒ|z] [d]	+cons,+cont -strid,+voice,+ant	0.0002	4614	125132	26099	0.0
[ʃ|f|v|s|h|ʒ|z] [t|ʃ|ɟ|d|f|v|s|p|ʒ|b|c|h|k|z|ɡ]	-son,+cont -son	0.0002	9198	73731	176312	0.0
[t|ʃ|ɟ|d|f|v|s|ʎ|r|p|ʒ|b|c|l|h|k|z|ɡ] [ɡ|ɟ|d|b]	-nas,+cons +voice,-cont	0.0002	7839	227713	41528	0.0
[ʃ|ʎ|s|r|l|ʒ|z] [t|ʃ|s|c]	+cor,+cons,+cont +cor,-voice	0.0002	6606	106321	63509	0.0
[h|ʃ|f|s] [t|n|ɟ|d|p|ɲ|b|c|k|m|ɡ]	-voice,+cont -cont	0.0002	6823	44619	161537	0.0
[ʃ|ʎ|j|s|r|l|ʒ|z] [d]	+cor,+cont -strid,+voice,+ant	0.0002	4615	126446	26099	0.0
[ʎ|j|r|l] [t|ʃ|ɟ|d|s|c|ʒ|z]	-syll,+son,-nas +cor,-son	0.0001	7224	71526	113263	0.0
[ʃ|ʎ|f|v|s|j|r|l|h|ʒ|z] [d]	-syll,+cont -strid,+voice,+ant	0.0001	4934	145257	26099	0.0
[t|ʃ|s|c] [t|d|s|r|l|z]	+cor,-voice +ant,-nas	0.0001	7290	63509	130315	0.0
[ʃ|f|v|s|h|ʒ|z] [t|d|s|z]	-son,+cont +ant,-son	0.0001	6202	73731	81554	0.0
[ʃ|f|v|s|h|ʒ|z] [t|s]	-son,+cont +ant,-voice	0.0001	4740	73731	47646	0.0
[h|ʃ|f|s] [t|ʃ|ɟ|d|f|v|s|p|ʒ|b|c|h|k|z|ɡ]	-voice,+cont -son	0.0001	7091	44619	176312	0.0
[ʃ|f|v|s|h|ʒ|z] [t|n|ɟ|d|p|ɲ|b|c|k|m|ɡ]	-son,+cont -cont	0.0001	8724	73731	161537	0.0
[r] [t|n|d|s|r|l|z]	-lat +ant	0.0001	5250	28695	150599	0.0
[s] [t|ʃ|f|s|p|c|h|k]	+ant,-voice,+cont -voice	0.0001	3241	15598	105672	0.0
[n|ʎ|j|r|ɲ|l] [t|ʃ|f|s|p|c|h|k]	+cor,+son -voice	0.0001	7825	91810	105672	0.0
[t|k|p|c] [t|d|s|z]	-voice,-cont +ant,-son	0.0001	5603	61053	81554	0.0
[n|ʎ|r|ɲ|l] [t|c]	+cor,+cons,+son -strid,-voice	0.0001	3805	71685	32048	0.0
[n|ʎ|r|ɲ|l] [t]	+cor,+cons,+son -strid,+ant,-voice	0.0001	3805	71685	32048	0.0
[ʒ|ʃ|z|s] [t|ɟ|d|p|b|c|k|ɡ]	+strid -nas,-cont	0.0001	5952	54920	102581	0.0
[ʎ|j|r|l] [d|z]	-syll,+son,-nas +voice,+ant	0.0001	3899	71526	33908	0.0
[n|ɲ|m] [t|ʃ|ɟ|d|ʎ|s|r|c|l|ʒ|z]	+nas +cor,+cons,-nas	0.0001	7783	58956	164664	0.0
[t|ʃ|s|c] [t|n|ɟ|d|p|ɲ|b|c|k|m|ɡ]	+cor,-voice -cont	0.0001	7995	63509	161537	0.0
[t|ʃ|ɟ|d|s|c|ʒ|z] [t|ɟ|d|p|b|c|k|ɡ]	+cor,-son -nas,-cont	0.0001	8501	113263	102581	0.0
[ʃ|f|v|s|h|ʒ|z] [t|ʃ|ɟ|d|ʎ|s|j|r|c|l|ʒ|z]	-son,+cont +cor,-nas	0.0001	9203	73731	184789	0.0
[z|s] [t|k|p|c]	+ant,+strid -voice,-cont	0.0001	2974	23407	61053	0.0
[ʃ|f|v|s|h|ʒ|z] [t|ʃ|ɟ|d|ʎ|s|r|c|l|ʒ|z]	-son,+cont +cor,+cons,-nas	0.0001	8666	73731	164664	0.0
[ʃ|s] [t|ʃ|s|c]	-voice,+strid +cor,-voice	0.0001	3515	31461	63509	0.0
[t|d|s|z] [t|c]	+ant,-son -strid,-voice	0.0001	4019	81554	32048	0.0
[t|d|s|z] [t]	+ant,-son -strid,+ant,-voice	0.0001	4019	81554	32048	0.0
[r] [ɟ|d]	-lat -strid,+voice	0.0001	2159	28695	26295	0.0
[t|ʃ|ɟ|d|s|c|ʒ|z] [t|k|p|c]	+cor,-son -voice,-cont	0.0001	6528	113263	61053	0.0
[h|ʃ|f|s] [t|n|d|s|r|l|z]	-voice,+cont +ant	0.0001	6427	44619	150599	0.0
[t|ʃ|s|c] [t|d|s|z]	+cor,-voice +ant,-son	0.0001	5628	63509	81554	0.0
[t|ʃ|ɟ|d|s|c|ʒ|z] [t|ɟ|d|c]	+cor,-son -strid	0.0001	6352	113263	58343	0.0
[n|ɲ|m] [t|ʃ|ɟ|d|ʎ|s|j|r|c|l|ʒ|z]	+nas +cor,-nas	0.0001	8154	58956	184789	0.0
[r] [d]	-lat -strid,+voice,+ant	0.0001	2136	28695	26099	0.0
[t|s] [t|d]	+ant,-voice -strid,+ant	0.0001	4106	47646	58147	0.0
[z|s] [t|ɟ|d|c]	+ant,+strid -strid	0.0001	2882	23407	58343	0.0
[t|s] [t|ɟ|d|c]	+ant,-voice -strid	0.0001	4110	47646	58343	0.0
[t|ʃ|ɟ|d|s|c|ʒ|z] [t|d]	+cor,-son -strid,+ant	0.0001	6315	113263	58147	0.0
[h|ʃ|f|s] [t|n|ɟ|d|ɲ|c]	-voice,+cont +cor,-cont	0.0001	4595	44619	78627	0.0
[t|ɟ|d|p|b|c|k|ɡ] [t|d|s|r|l|z]	-nas,-cont +ant,-nas	0.0001	8967	102581	130315	0.0
[h|ʃ|f|s] [t|n|d]	-voice,+cont +ant,-cont	0.0001	4586	44619	78431	0.0
[z|s] [t|c]	+ant,+strid -strid,-voice	0.0001	2123	23407	32048	0.0
[z|s] [t]	+ant,+strid -strid,+ant,-voice	0.0001	2123	23407	32048	0.0
[t|ɟ|d|p|b|c|k|ɡ] [t|s]	-nas,-cont +ant,-voice	0.0001	5418	102581	47646	0.0
[z|s] [t|d]	+ant,+strid -strid,+ant	0.0001	2858	23407	58147	0.0
[n|ʎ|j|r|ɲ|l] [t|k|p|c]	+cor,+son -voice,-cont	0.0001	5781	91810	61053	0.0
[r] [t|ʃ|ɟ|d|s|c|ʒ|z]	-lat +cor,-son	0.0001	4396	28695	113263	0.0
[z|s] [t|ʃ|ɟ|d|f|v|s|ʎ|j|r|p|ʒ|b|c|l|h|k|z|ɡ]	+ant,+strid -syll,-nas	0.0001	5863	23407	247838	0.0
[t|ʃ|f|s|r|p|z|b|ʒ|ɟ|d|v|ʎ|h|k|n|j|ɲ|c|l|m|ɡ] [r|z|s|l]	-syll +ant,+cont	0.0001	11452	306794	72168	0.0
[ʃ|ʎ|f|v|s|r|l|h|ʒ|z] [d|z]	+cons,+cont +voice,+ant	0.0001	5010	125132	33908	0.0
[ʃ|f|v|s|h|ʒ|z] [t|ʃ|ɟ|d|n|s|ʎ|j|r|ɲ|c|l|ʒ|z]	-son,+cont +cor	0.0001	9445	73731	205073	0.0
[t|n|ɟ|d|p|ɲ|b|c|k|m|ɡ] [t|k|p|c]	-cont -voice,-cont	0.0001	7602	161537	61053	0.0
[n|ɲ|m] [t|ʃ|ɟ|d|n|s|ʎ|r|ɲ|c|l|ʒ|z]	+nas +cor,+cons	0.0001	7993	58956	184948	0.0
