ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
ã ɔ̃	0.0	1	275	176	1.0
ĩ ɓ	0.0	1	115	447	1.0
e d	0.0	4	913	908	0.125
v o	0.0	2	130	1597	0.5
r ɔ	0.0	2	127	1676	0.5
ã ɛ̃	0.0	1	275	199	1.0
ĩ ɛ	0.0	2	115	1923	0.5
ũ p	0.0	1	92	605	1.0
r ɓ	0.0	1	127	447	1.0
o d	0.0	5	1597	908	0.062
ŋ o	0.0	6	1349	1597	0.031
o p	0.0	4	1597	605	0.125
ɔ̃ f	0.0	1	176	345	1.0
a i	0.0	11	4385	1702	0.001
ɛ ɔ	0.0	7	1923	1676	0.016
ɛ̃ ŋ	0.0	2	199	1349	0.5
r ɡ	0.0	2	127	2124	0.5
e b	0.0	5	913	1855	0.062
e j	0.0	2	913	324	0.5
a e	0.0	7	4385	913	0.016
w ã	0.0	1	300	275	1.0
ɔ ɛ̃	0.0	2	1676	199	0.5
d ũ	0.0	1	908	92	1.0
u i	0.0	6	1820	1702	0.031
ã m	0.0	2	275	1275	0.5
a ɔ	0.0	9	4385	1676	0.004
ã f	0.0	1	275	345	1.0
t r	0.0	1	800	127	1.0
e ɓ	0.0	2	913	447	0.5
n ũ	0.0	1	1116	92	1.0
ũ n	0.0	1	92	1116	1.0
ɔ̃ z	0.0	1	176	643	1.0
d r	0.0	1	908	127	1.0
r d	0.0	1	127	908	1.0
m ũ	0.0	1	1275	92	1.0
ũ m	0.0	1	92	1275	1.0
ɔ̃ s	0.0	1	176	683	1.0
ɛ̃ p	0.0	1	199	605	1.0
e ɲ	0.0	1	913	134	1.0
ã ɓ	0.0	1	275	447	1.0
ɛ̃ z	0.0	1	199	643	1.0
ĩ n	0.0	1	115	1116	1.0
ɗ ã	0.0	1	481	275	1.0
ã ɗ	0.0	1	275	481	1.0
r n	0.0	1	127	1116	1.0
ĩ m	0.0	1	115	1275	1.0
ĩ ŋ	0.0	1	115	1349	1.0
