segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[s|ɹ|g|ŋ|p|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c] [s|ʒ|g|ɟ|t|k|b|d|h|c|z|ð|ʃ|f|v|p|θ]	+consonantal -sonorant	0.0016	68223	329528	215415	0.0
[s|ʒ|l|g|ɟ|t|k|b|ɹ|d|h|c|z|ð|ʃ|f|v|p|θ] [s|ɹ|g|p|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|l|h|ʃ|ʒ|c]	-nasal,+consonantal -nasal,-syllabic	0.0015	70394	271693	281068	0.0
[s|ɹ|g|p|ŋ|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c] [s|ʒ|l|j|ɹ|h|z|ð|ʃ|f|v|w|θ]	-syllabic +continuant,-syllabic	0.0015	58622	338903	157949	0.0
[ɟ|t|k|b|d|c|g|p] [ʒ|ʃ|ɹ]	-sonorant,-continuant +continuant,-anterior	0.0015	17903	123119	40643	0.0
[s|ɹ|g|p|ŋ|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c] [s|ʒ|g|ɟ|t|k|b|d|h|c|z|ð|ʃ|f|v|p|θ]	-syllabic -sonorant	0.0015	68223	338903	215415	0.0
[s|ʒ|g|ɟ|t|k|b|d|h|c|z|ð|ʃ|f|v|p|θ] [s|ɹ|g|p|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|l|h|ʃ|ʒ|c]	-sonorant -nasal,-syllabic	0.0015	62096	215415	281068	0.0
[s|ʒ|l|n|ɟ|t|ɹ|d|c|z|ð|ʃ|θ] [s|ɹ|g|p|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|l|h|ʃ|ʒ|c]	+coronal -nasal,-syllabic	0.0015	63338	226888	281068	0.0
[s|ɹ|g|p|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|l|h|ʃ|ʒ|c] [s|ɹ|g|p|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|l|h|ʃ|ʒ|c]	-nasal,-syllabic -nasal,-syllabic	0.0015	70395	281068	281068	0.0
[ɟ|t|k|b|d|c|g|p] [s|ʒ|l|ɹ|h|z|ð|ʃ|f|v|θ]	-sonorant,-continuant +continuant,+consonantal	0.0015	33535	123119	148574	0.0
[s|ɹ|g|ŋ|p|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c] [s|ʒ|ɟ|t|d|c|z|ð|ʃ|θ]	+consonantal +coronal,-sonorant	0.0015	52774	329528	137726	0.0
[ʒ|ɟ] [ð|v|ʒ|z]	+voice,-anterior +continuant,+voice	0.0014	4004	8334	31766	0.0
[ɹ|c|ɟ] [ʒ|ɟ]	-strident,-anterior +voice,-anterior	0.0014	4123	33881	8334	0.0
[s|ʒ|l|g|ɟ|t|k|b|ɹ|d|h|c|z|ð|ʃ|f|v|p|θ] [s|ɹ|g|p|ŋ|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c]	-nasal,+consonantal -syllabic	0.0014	74444	271693	338903	0.0
[c] [s|ʃ]	-voice,-continuant,-anterior -voice,+strident	0.0014	2730	2730	45677	0.0
[s|ʒ|g|ɟ|t|k|b|d|h|c|z|ð|ʃ|f|v|p|θ] [s|ʒ|l|ɟ|t|ɹ|d|c|z|ð|ʃ|θ]	-sonorant -nasal,+coronal	0.0014	49954	215415	194004	0.0
[s|ɹ|g|p|ŋ|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c] [s|ʒ|ɟ|t|d|c|z|ð|ʃ|θ]	-syllabic +coronal,-sonorant	0.0014	52774	338903	137726	0.0
[s|ʒ|l|g|ɟ|t|k|b|ɹ|d|h|c|z|ð|ʃ|f|v|p|θ] [s|ʒ|l|ɟ|t|ɹ|d|c|z|ð|ʃ|θ]	-nasal,+consonantal -nasal,+coronal	0.0014	55715	271693	194004	0.0
[s|ʒ|l|n|ɟ|t|ɹ|d|c|z|ð|ʃ|θ] [s|ʒ|l|g|ɟ|t|k|b|ɹ|d|h|c|z|ð|ʃ|f|v|p|θ]	+coronal -nasal,+consonantal	0.0014	60090	226888	271693	0.0
[s|ʒ|l|n|ɟ|t|ɹ|d|c|z|ð|ʃ|θ] [s|ɹ|g|p|ŋ|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c]	+coronal -syllabic	0.0014	66890	226888	338903	0.0
[s|ɹ|g|p|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|l|h|ʃ|ʒ|c] [s|ɹ|g|p|ŋ|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c]	-nasal,-syllabic -syllabic	0.0014	74445	281068	338903	0.0
[s|ʒ|g|ɟ|t|k|b|d|h|c|z|ð|ʃ|f|v|p|θ] [s|ɹ|g|p|ŋ|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c]	-sonorant -syllabic	0.0014	65164	215415	338903	0.0
[c] [s|ʃ|θ]	-voice,-continuant,-anterior +continuant,-voice,+coronal	0.0014	2730	2730	47271	0.0
[c] [ʒ|ɟ|ɹ|c|ʃ]	-voice,-continuant,-anterior -anterior	0.0014	2730	2730	47375	0.0
[s|ʒ|l|g|ɟ|t|k|b|ɹ|d|h|c|z|ð|ʃ|f|v|p|θ] [s|ʒ|l|g|ɟ|t|k|b|ɹ|d|h|c|z|ð|ʃ|f|v|p|θ]	-nasal,+consonantal -nasal,+consonantal	0.0014	65033	271693	271693	0.0
[ʒ|ʃ|c|ɟ] [ʒ|ʃ|ɹ]	-sonorant,-anterior +continuant,-anterior	0.0014	6860	20226	40643	0.0
[n|ɟ|t|d|c] [s|ʒ|l|ɟ|t|ɹ|d|c|z|ð|ʃ|θ]	+coronal,-continuant -nasal,+coronal	0.0014	32912	97785	194004	0.0
[t|d|c|ɟ] [ʒ]	-strident,-continuant +voice,+strident,-anterior	0.0014	4002	64901	4332	0.0
[s|ɹ|g|p|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|l|h|ʃ|ʒ|c] [s|ʒ|l|ɟ|t|ɹ|d|c|z|ð|ʃ|θ]	-nasal,-syllabic -nasal,+coronal	0.0014	55715	281068	194004	0.0
[ɟ] [s|ʃ|ʒ|z]	+voice,-continuant,-anterior +strident	0.0013	4002	4002	70640	0.0
[ɟ|t|k|b|d|c|g|p] [ʒ|ɟ|ɹ|c|ʃ]	-sonorant,-continuant -anterior	0.0013	18167	123119	47375	0.0
[s|ʒ|l|n|ɟ|t|ɹ|d|c|z|ð|ʃ|θ] [s|ʒ|ɟ|t|d|c|z|ð|ʃ|θ]	+coronal +coronal,-sonorant	0.0013	42012	226888	137726	0.0
[s|ʒ|g|ɟ|t|k|b|d|h|c|z|ð|ʃ|f|v|p|θ] [s|ʒ|l|j|ɹ|h|z|ð|ʃ|f|v|w|θ]	-sonorant +continuant,-syllabic	0.0013	43807	215415	157949	0.0
[s|ʒ|l|n|ɟ|t|ɹ|d|c|z|ð|ʃ|θ] [s|ʒ|g|ɟ|t|k|b|d|h|c|z|ð|ʃ|f|v|p|θ]	+coronal -sonorant	0.0013	52397	226888	215415	0.0
[s|ʒ|l|n|ɟ|t|ɹ|d|c|z|ð|ʃ|θ] [s|ʒ|l|ɟ|t|ɹ|d|c|z|ð|ʃ|θ]	+coronal -nasal,+coronal	0.0013	49705	226888	194004	0.0
[n|ɟ|t|d|c] [s|ʒ|ɟ|t|d|c|z|ð|ʃ|θ]	+coronal,-continuant +coronal,-sonorant	0.0013	27415	97785	137726	0.0
[s|ʒ|g|ɟ|t|k|b|d|h|c|z|ð|ʃ|f|v|p|θ] [s|ʒ|l|g|ɟ|t|k|b|ɹ|d|h|c|z|ð|ʃ|f|v|p|θ]	-sonorant -nasal,+consonantal	0.0013	57108	215415	271693	0.0
[s|ɹ|g|ŋ|p|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c] [s|l|t|d|z|ð|θ]	+consonantal -nasal,+anterior	0.0013	51835	329528	146629	0.0
[s|l|n|t|d|z|ð|θ] [s|ɹ|g|p|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|l|h|ʃ|ʒ|c]	+anterior -nasal,-syllabic	0.0013	52960	179513	281068	0.0
[s|ɹ|g|ŋ|p|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c] [s|ʒ|l|ɹ|z|ð|ʃ|θ]	+consonantal +continuant,+coronal	0.0013	48605	329528	129103	0.0
[s|ɹ|g|ŋ|p|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c] [s|ʒ|l|ɹ|h|z|ð|ʃ|f|v|θ]	+consonantal +continuant,+consonantal	0.0013	52123	329528	148574	0.0
[s|ɹ|g|p|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|l|h|ʃ|ʒ|c] [s|ʒ|l|g|ɟ|t|k|b|ɹ|d|h|c|z|ð|ʃ|f|v|p|θ]	-nasal,-syllabic -nasal,+consonantal	0.0013	65033	281068	271693	0.0
[ɟ|t|d|c|ð|θ] [ʒ]	-strident,-sonorant +voice,+strident,-anterior	0.0013	4002	67086	4332	0.0
[ɟ] [s|ʒ|z|ð|ʃ|θ]	+voice,-continuant,-anterior +continuant,+coronal,-sonorant	0.0013	4002	4002	72825	0.0
[m|ŋ|n|ɟ|t|k|b|d|c|g|p] [s|ʒ|ɟ|t|d|c|z|ð|ʃ|θ]	-continuant +coronal,-sonorant	0.0013	36927	180954	137726	0.0
[s|t|k|h|c|ʃ|f|p|θ] [s|ɹ|g|p|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|l|h|ʃ|ʒ|c]	-voice -nasal,-syllabic	0.0013	46351	139857	281068	0.0
[s|ʒ|g|ɟ|t|k|b|d|h|c|z|ð|ʃ|f|v|p|θ] [s|ʒ|l|n|ɟ|t|ɹ|d|c|z|ð|ʃ|θ]	-sonorant +coronal	0.0013	51654	215415	226888	0.0
[s|ʒ|l|g|ɟ|t|k|b|ɹ|d|h|c|z|ð|ʃ|f|v|p|θ] [s|ʒ|l|n|ɟ|t|ɹ|d|c|z|ð|ʃ|θ]	-nasal,+consonantal +coronal	0.0013	57888	271693	226888	0.0
[s|ʒ|l|n|ɟ|t|ɹ|d|c|z|ð|ʃ|θ] [s|ɹ|g|ŋ|p|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c]	+coronal +consonantal	0.0013	63642	226888	329528	0.0
[s|ɹ|g|p|ŋ|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c] [s|l|t|d|z|ð|θ]	-syllabic -nasal,+anterior	0.0013	51835	338903	146629	0.0
[s|ɹ|g|p|ŋ|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c] [s|ʒ|l|ɹ|z|ð|ʃ|θ]	-syllabic +continuant,+coronal	0.0013	48605	338903	129103	0.0
[s|ɹ|g|p|ŋ|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c] [s|ʒ|l|ɹ|h|z|ð|ʃ|f|v|θ]	-syllabic +continuant,+consonantal	0.0013	52123	338903	148574	0.0
