segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[b|l|j|p|ɹ|w|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ]	-nasal,-syllabic -syllabic	0.0016	74445	281068	338903	0.0
[b|p|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ]	-sonorant -syllabic	0.0016	65164	215415	338903	0.0
[b|l|p|ɹ|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [b|l|p|ɹ|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	-nasal,+consonantal -nasal,+consonantal	0.0016	65033	271693	271693	0.0
[l|n|ð|z|d|s|θ|t] [b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g]	+anterior +consonantal	0.0016	59199	186245	329528	0.0
[t|d|n] [l|ɹ|ʒ|ð|z|d|s|ʃ|θ|t]	-continuant,+coronal -nasal,+coronal	0.0016	32912	97785	194004	0.0
[t|d] [ʒ]	-strident,-continuant +voice,-anterior	0.0016	4002	64901	4332	0.0
[b|l|j|p|ɹ|w|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [l|ɹ|ʒ|ð|z|d|s|ʃ|θ|t]	-nasal,-syllabic -nasal,+coronal	0.0016	55715	281068	194004	0.0
[b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g] [l|ð|z|d|s|θ|t]	+consonantal -nasal,+anterior	0.0016	53470	329528	153361	0.0
[l|n|ɹ|ʒ|ð|z|d|s|ʃ|θ|t] [ʒ|ð|z|d|s|ʃ|θ|t]	+coronal +coronal,-sonorant	0.0016	42012	226888	137726	0.0
[b|p|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [l|j|ɹ|w|v|ð|ʒ|z|s|ʃ|h|f|θ]	-sonorant +continuant,-syllabic	0.0016	43807	215415	157949	0.0
[l|n|ɹ|ʒ|ð|z|d|s|ʃ|θ|t] [b|p|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	+coronal -sonorant	0.0016	52397	226888	215415	0.0
[l|n|ɹ|ʒ|ð|z|d|s|ʃ|θ|t] [l|ɹ|ʒ|ð|z|d|s|ʃ|θ|t]	+coronal -nasal,+coronal	0.0016	49705	226888	194004	0.0
[l|n|ð|z|d|s|θ|t] [l|n|ɹ|ʒ|ð|z|d|s|ʃ|θ|t]	+anterior +coronal	0.0016	48619	186245	226888	0.0
[t|d|n] [ʒ|ð|z|d|s|ʃ|θ|t]	-continuant,+coronal +coronal,-sonorant	0.0015	27415	97785	137726	0.0
[b|p|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [b|l|p|ɹ|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	-sonorant -nasal,+consonantal	0.0015	57108	215415	271693	0.0
[b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g] [l|ɹ|ʒ|ð|z|s|ʃ|θ]	+consonantal +coronal,+continuant	0.0015	48605	329528	129103	0.0
[b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g] [l|ɹ|v|ð|ʒ|z|s|ʃ|h|f|θ]	+consonantal +consonantal,+continuant	0.0015	52123	329528	148574	0.0
[b|l|j|p|ɹ|w|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [b|l|p|ɹ|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	-nasal,-syllabic -nasal,+consonantal	0.0015	65033	281068	271693	0.0
[θ|ð|t|d] [ʒ]	-strident,+anterior +voice,-anterior	0.0015	4002	67086	4332	0.0
[w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ] [l|ð|z|d|s|θ|t]	-syllabic -nasal,+anterior	0.0015	53470	338903	153361	0.0
[b|n|p|ŋ|d|m|k|t|g] [ʒ|ð|z|d|s|ʃ|θ|t]	-continuant +coronal,-sonorant	0.0015	36927	180954	137726	0.0
[p|s|ʃ|k|h|f|θ|t] [b|l|j|p|ɹ|w|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	-voice -nasal,-syllabic	0.0015	46351	139857	281068	0.0
[b|p|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [l|n|ɹ|ʒ|ð|z|d|s|ʃ|θ|t]	-sonorant +coronal	0.0015	51654	215415	226888	0.0
[b|l|p|ɹ|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [l|n|ɹ|ʒ|ð|z|d|s|ʃ|θ|t]	-nasal,+consonantal +coronal	0.0015	57888	271693	226888	0.0
[l|n|ɹ|ʒ|ð|z|d|s|ʃ|θ|t] [b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g]	+coronal +consonantal	0.0015	63642	226888	329528	0.0
[w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ] [l|ɹ|ʒ|ð|z|s|ʃ|θ]	-syllabic +coronal,+continuant	0.0015	48605	338903	129103	0.0
[w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ] [l|ɹ|v|ð|ʒ|z|s|ʃ|h|f|θ]	-syllabic +consonantal,+continuant	0.0015	52123	338903	148574	0.0
[n] [ð|z|d|s|θ|t]	-continuant,-lateral +anterior,-sonorant	0.0015	14809	32884	124232	0.0
[b|l|p|ɹ|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [l|j|ɹ|w|v|ð|ʒ|z|s|ʃ|h|f|θ]	-nasal,+consonantal +continuant,-syllabic	0.0015	47938	271693	157949	0.0
[t|d|n] [b|l|j|p|ɹ|w|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	-continuant,+coronal -nasal,-syllabic	0.0015	38323	97785	281068	0.0
[b|p|d|k|t|g] [l|ɹ|ʒ|ð|z|d|s|ʃ|θ|t]	-continuant,-sonorant -nasal,+coronal	0.0015	35723	123119	194004	0.0
[b|l|p|ɹ|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g]	-nasal,+consonantal +consonantal	0.0015	69083	271693	329528	0.0
[t|d] [ʒ|ʃ]	-strident,-continuant -anterior,+strident	0.0015	6815	64901	13494	0.0
[b|l|j|p|ɹ|w|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [l|n|ɹ|ʒ|ð|z|d|s|ʃ|θ|t]	-nasal,-syllabic +coronal	0.0015	57888	281068	226888	0.0
[b|n|p|ŋ|d|m|k|t|g] [b|p|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	-continuant -sonorant	0.0015	45159	180954	215415	0.0
[b|l|j|p|ɹ|w|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [l|j|ɹ|w|v|ð|ʒ|z|s|ʃ|h|f|θ]	-nasal,-syllabic +continuant,-syllabic	0.0014	47939	281068	157949	0.0
[b|l|j|p|ɹ|w|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g]	-nasal,-syllabic +consonantal	0.0014	69083	281068	329528	0.0
[l|n|ɹ|ʒ|ð|z|d|s|ʃ|θ|t] [l|n|ɹ|ʒ|ð|z|d|s|ʃ|θ|t]	+coronal +coronal	0.0014	51416	226888	226888	0.0
[θ|ð|t|d] [ʒ|ʃ]	-strident,+anterior -anterior,+strident	0.0014	6817	67086	13494	0.0
[b|p|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g]	-sonorant +consonantal	0.0014	60176	215415	329528	0.0
[b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g] [l|n|ð|z|d|s|θ|t]	+consonantal +anterior	0.0014	55870	329528	186245	0.0
[n] [ʒ|ð|z|d|s|ʃ|θ|t]	-continuant,-lateral +coronal,-sonorant	0.0014	15163	32884	137726	0.0
[b|p|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [l|ɹ|ʒ|ð|z|s|ʃ|θ]	-sonorant +coronal,+continuant	0.0014	37392	215415	129103	0.0
[t|d|n] [l|n|ɹ|ʒ|ð|z|d|s|ʃ|θ|t]	-continuant,+coronal +coronal	0.0014	33357	97785	226888	0.0
[b|p|d|k|t|g] [b|l|j|p|ɹ|w|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	-continuant,-sonorant -nasal,-syllabic	0.0014	41594	123119	281068	0.0
[w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ] [l|n|ð|z|d|s|θ|t]	-syllabic +anterior	0.0014	55870	338903	186245	0.0
[t|d|n] [b|l|p|ɹ|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	-continuant,+coronal -nasal,+consonantal	0.0014	36244	97785	271693	0.0
[p|s|ʃ|k|h|f|θ|t] [w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ]	-voice -syllabic	0.0014	48352	139857	338903	0.0
[b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g] [ð|z|d|s|θ|t]	+consonantal +anterior,-sonorant	0.0014	44878	329528	124232	0.0
[b|v|ð|ʒ|z|d|g] [ʒ]	+voice +voice,-anterior	0.0014	4007	75558	4332	0.0
[p|s|ʃ|k|h|f|θ|t] [l|ɹ|ʒ|ð|z|d|s|ʃ|θ|t]	-voice -nasal,+coronal	0.0014	36391	139857	194004	0.0
[t|d|n] [l|j|ɹ|w|v|ð|ʒ|z|s|ʃ|h|f|θ]	-continuant,+coronal +continuant,-syllabic	0.0013	27247	97785	157949	0.0
[w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ] [ð|z|d|s|θ|t]	-syllabic +anterior,-sonorant	0.0013	44878	338903	124232	0.0
[b|p|d|k|t|g] [l|n|ɹ|ʒ|ð|z|d|s|ʃ|θ|t]	-continuant,-sonorant +coronal	0.0013	36510	123119	226888	0.0
[p|s|ʃ|k|h|f|θ|t] [b|l|p|ɹ|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	-voice -nasal,+consonantal	0.0013	42577	139857	271693	0.0
