segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[b|ɡ|t|k|d|p] [xʲ|z|r|ɣ|ʂ|s|sʲ|zʲ|ʐ|v|lʲ|rʲ|ʑ|x|f|vʲ|j|ɕ|l|fʲ]	-son,-cont,+back +cont	0.0009	59361	144119	272843	0.0
[b|ɡ|m|t|k|d|n|p] [r|z|ʂ|zʲ|s|sʲ|ʐ|lʲ|rʲ|ʑ|ɕ|l]	-cont,+back +cor,+cont,+cons	0.0009	57238	193795	188812	0.0
[ʂ|s|t] [mʲ|b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|d|n]	+cor,-voice,+back +cons	0.0009	70625	117112	476038	0.0
[z|s|d|t] [ʂ|s|sʲ|t|tʲ|ɕ]	+ant,-son,+back +cor,-voice	0.0009	45801	136233	172140	0.0
[b|z|ɣ|ʂ|s|ʐ|ɡ|t|x|f|k|d|p] [r|z|ʂ|zʲ|s|sʲ|ʐ|lʲ|rʲ|ʑ|ɕ|l]	-son,+back +cor,+cont,+cons	0.0009	62588	232313	188812	0.0
[b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|ʑ|bʲ|kʲ|pʲ|ʂ|zʲ|ʐ|k|ɕ|p|ɡ|ɡʲ|x|d] [mʲ|b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|d|n]	-son +cons	0.0009	115570	315706	476038	0.0
[s|t] [mʲ|b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|d|n]	-voice,+ant,+back +cons	0.0009	68358	110494	476038	0.0
[n|d|t] [xʲ|ʂ|s|sʲ|x|f|ɕ|fʲ]	-cont,+back,+ant +cont,-voice	0.0009	29651	107960	92458	0.0
[t|k|p] [r|z|ʂ|zʲ|s|sʲ|ʐ|lʲ|rʲ|ʑ|j|ɕ|l]	-cont,-voice,+back +cor,+cont	0.0009	47494	114048	225340	0.0
[mʲ|b|ɣ|s|sʲ|v|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|vʲ|j|d|n] [mʲ|b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|d|n]	-syll +cons	0.0009	151103	547104	476038	0.0
