segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[N|n] [d|D|T|t]	+cor,+nasal +cor,-son,-cont	0.001	9239	40387	71440	0.0
[n] [P|D|B|p|G|K|g|d|b|t|T|k]	-long,+cor,+nasal -son,-cont	0.001	13920	39661	165158	0.0
[n|s|d|t|r|l] [P|D|B|p|G|K|g|d|b|t|T|k]	+cons,-long,+cor -son,-cont	0.001	34590	245081	165158	0.0
[n|s|j|d|t|r|l] [s|R|h|t|l|m|p|N|F|r|n|G|j|K|g|d|b|M|T|k|f|P|D|B|w|L|S]	-long,+cor -syll	0.001	54433	246445	406851	0.0
[n|m] [P|D|B|p|G|s|h|K|g|d|b|t|S|F|T|k|f]	-long,+nasal -son	0.001	21758	67374	237786	0.0
[l|D|n|s|R|j|d|L|t|S|N|r|T] [n|s|p|j|k|h|g|d|w|b|t|r|l|m|f]	+cor -long	0.001	54543	255915	393408	0.0
[r|n|l] [s|p|h|g|d|b|t|k|f]	+cons,-long,+son,+cor -long,-son	0.001	28600	119690	231289	0.0
[n|s|j|d|t|r|l] [n|s|p|k|h|g|d|b|t|r|l|m|f]	-long,+cor +cons,-long	0.001	52473	246445	378692	0.0
[N|n] [p|g|d|b|t|k]	+cor,+nasal -long,-son,-cont	0.001	13920	40387	162719	0.0
[n|s|p|j|k|h|g|d|w|b|t|r|l|m|f] [p|g|d|b|t|k]	-long -long,-son,-cont	0.001	43444	393408	162719	0.0
[r|n|l|m] [P|D|B|p|G|s|h|K|g|d|b|t|S|F|T|k|f]	+cons,-long,+son -son	0.0009	32128	147403	237786	0.0
[M|N|n|m] [s|p|h|g|d|b|t|k|f]	+nasal -long,-son	0.0009	21747	69492	231289	0.0
[n|s|j|d|t|r|l] [P|D|B|p|G|K|g|d|b|t|T|k]	-long,+cor -son,-cont	0.0009	34590	246445	165158	0.0
[p|g|d|b|t|k] [s|j|h|w|r|l|f]	-long,-son,-cont +cont,-long	0.0009	27905	162719	163315	0.0
[j|r|n|l] [s|p|h|g|d|b|t|k|f]	-long,+son,+cor -long,-son	0.0009	28600	121054	231289	0.0
[s|R|h|t|l|m|p|N|r|F|n|G|K|g|d|b|M|T|k|f|P|D|B|L|S] [P|D|B|p|G|K|g|d|b|t|T|k]	+cons -son,-cont	0.0009	43457	392135	165158	0.0
[N|n] [P|D|B|p|G|K|g|d|b|t|T|k]	+cor,+nasal -son,-cont	0.0009	13920	40387	165158	0.0
[n|s|p|j|k|h|g|d|w|b|t|r|l|m|f] [P|D|B|p|G|K|g|d|b|t|T|k]	-long -son,-cont	0.0009	43445	393408	165158	0.0
[n|R|L|M|N|r|l|m] [s|p|h|g|d|b|t|k|f]	+cons,+son -long,-son	0.0009	32174	154349	231289	0.0
[l|D|n|s|R|d|L|t|S|N|r|T] [p|g|d|b|t|k]	+cons,+cor -long,-son,-cont	0.0009	34603	254551	162719	0.0
[r|n|l] [P|D|B|p|G|s|h|K|g|d|b|t|S|F|T|k|f]	+cons,-long,+son,+cor -son	0.0009	28611	119690	237786	0.0
[l|D|n|s|R|j|d|L|t|S|N|r|T] [p|g|d|b|t|k]	+cor -long,-son,-cont	0.0009	34603	255915	162719	0.0
[l|D|n|s|R|d|L|t|S|N|r|T] [s|R|h|t|l|m|p|N|F|r|n|G|j|K|g|d|b|M|T|k|f|P|D|B|w|L|S]	+cons,+cor -syll	0.0009	54557	254551	406851	0.0
[l|D|n|s|R|d|L|t|S|N|r|T] [n|s|p|k|h|g|d|b|t|r|l|m|f]	+cons,+cor +cons,-long	0.0009	52595	254551	378692	0.0
[n|s|d|t|r|l] [s|R|h|t|l|m|p|N|r|F|n|G|K|g|d|b|M|T|k|f|P|D|B|L|S]	+cons,-long,+cor +cons	0.0009	52487	245081	392135	0.0
[M|N|n|m] [P|D|B|p|G|s|h|K|g|d|b|t|S|F|T|k|f]	+nasal -son	0.0009	21758	69492	237786	0.0
[l|D|n|s|R|j|d|L|t|S|N|r|T] [s|R|h|t|l|m|p|N|F|r|n|G|j|K|g|d|b|M|T|k|f|P|D|B|w|L|S]	+cor -syll	0.0009	54559	255915	406851	0.0
[l|D|n|s|R|j|d|L|t|S|N|r|T] [n|s|p|k|h|g|d|b|t|r|l|m|f]	+cor +cons,-long	0.0009	52597	255915	378692	0.0
[s|R|h|t|l|m|p|N|F|r|n|G|j|K|g|d|b|M|T|k|f|P|D|B|w|L|S] [p|g|d|b|t|k]	-syll -long,-son,-cont	0.0009	43458	406851	162719	0.0
[n|s|j|d|t|r|l] [s|R|h|t|l|m|p|N|r|F|n|G|K|g|d|b|M|T|k|f|P|D|B|L|S]	-long,+cor +cons	0.0009	52489	246445	392135	0.0
[l|D|n|s|R|d|L|t|S|N|r|T] [P|D|B|p|G|K|g|d|b|t|T|k]	+cons,+cor -son,-cont	0.0009	34604	254551	165158	0.0
[j|r|n|l] [P|D|B|p|G|s|h|K|g|d|b|t|S|F|T|k|f]	-long,+son,+cor -son	0.0009	28611	121054	237786	0.0
[n|R|L|N|r|l] [s|p|h|g|d|b|t|k|f]	+cons,+son,+cor -long,-son	0.0009	28657	125244	231289	0.0
[l|D|n|s|R|j|d|L|t|S|N|r|T] [P|D|B|p|G|K|g|d|b|t|T|k]	+cor -son,-cont	0.0009	34604	255915	165158	0.0
[P|D|B|p|G|K|g|d|b|t|T|k] [s|R|j|h|w|r|L|S|F|l|f]	-son,-cont +cont,-syll	0.0009	28364	165158	172201	0.0
[n|R|L|M|N|r|l|m] [P|D|B|p|G|s|h|K|g|d|b|t|S|F|T|k|f]	+cons,+son -son	0.0009	32185	154349	237786	0.0
[s|p|h|g|d|b|t|k|f] [n|s|p|j|k|h|g|d|w|b|t|r|l|m|f]	-long,-son -long	0.0009	50577	231289	393408	0.0
[s|R|h|t|l|m|p|N|F|r|n|G|j|K|g|d|b|M|T|k|f|P|D|B|w|L|S] [P|D|B|p|G|K|g|d|b|t|T|k]	-syll -son,-cont	0.0009	43459	406851	165158	0.0
[P|D|B|p|G|s|h|K|g|d|b|t|S|F|T|k|f] [n|s|p|j|k|h|g|d|w|b|t|r|l|m|f]	-son -long	0.0009	51253	237786	393408	0.0
[n|R|j|L|N|r|l] [s|p|h|g|d|b|t|k|f]	+son,+cor -long,-son	0.0009	28657	126608	231289	0.0
[n|s|p|k|h|g|d|b|t|r|l|m|f] [k|p|t]	+cons,-long -voice,-long,-cont	0.0009	35787	378692	121544	0.0
[p|g|d|b|t|k] [s|R|j|h|w|r|L|S|F|l|f]	-long,-son,-cont +cont,-syll	0.0009	27908	162719	172201	0.0
[l|D|n|s|R|d|L|t|S|N|r|T] [s|R|h|t|l|m|p|N|r|F|n|G|K|g|d|b|M|T|k|f|P|D|B|L|S]	+cons,+cor +cons	0.0009	52611	254551	392135	0.0
[n|R|L|N|r|l] [P|D|B|p|G|s|h|K|g|d|b|t|S|F|T|k|f]	+cons,+son,+cor -son	0.0009	28668	125244	237786	0.0
[l|D|n|s|R|j|d|L|t|S|N|r|T] [s|R|h|t|l|m|p|N|r|F|n|G|K|g|d|b|M|T|k|f|P|D|B|L|S]	+cor +cons	0.0009	52613	255915	392135	0.0
[n|j|w|r|l|m] [s|p|h|g|d|b|t|k|f]	-long,+son -long,-son	0.0009	32119	162119	231289	0.0
[r|n|l|m] [p|g|d|b|t|k]	+cons,-long,+son -long,-son,-cont	0.0009	25661	147403	162719	0.0
[n] [s|p|t|k|f]	-long,+cor,+nasal -voice,-long	0.0009	14149	39661	184446	0.0
[P|D|n|B|p|G|k|K|g|d|b|t|M|N|T|m] [s|h|r|l|f]	-cont +cont,+cons,-long	0.0009	30881	234650	148599	0.0
[n|s|p|k|h|g|d|b|t|r|l|m|f] [P|p|K|t|T|k]	+cons,-long -voice,-cont	0.0009	35788	378692	123710	0.0
[n|R|j|L|N|r|l] [P|D|B|p|G|s|h|K|g|d|b|t|S|F|T|k|f]	+son,+cor -son	0.0009	28668	126608	237786	0.0
[s|p|h|g|d|b|t|k|f] [s|R|h|t|l|m|p|N|F|r|n|G|j|K|g|d|b|M|T|k|f|P|D|B|w|L|S]	-long,-son -syll	0.0009	50588	231289	406851	0.0
[P|D|B|p|G|s|h|K|g|d|b|t|S|F|T|k|f] [s|R|h|t|l|m|p|N|F|r|n|G|j|K|g|d|b|M|T|k|f|P|D|B|w|L|S]	-son -syll	0.0009	51264	237786	406851	0.0
[n|p|k|g|d|b|t|m] [s|h|r|l|f]	-long,-cont +cont,+cons,-long	0.0009	30444	230093	148599	0.0
[n|s|p|k|h|g|d|b|t|r|l|m|f] [n|p|k|g|d|b|t|m]	+cons,-long -long,-cont	0.0009	48561	378692	230093	0.0
[r|n|l|m] [P|D|B|p|G|K|g|d|b|t|T|k]	+cons,-long,+son -son,-cont	0.0009	25661	147403	165158	0.0
[s|R|h|t|l|m|p|N|r|F|n|G|K|g|d|b|M|T|k|f|P|D|B|L|S] [k|p|t]	+cons -voice,-long,-cont	0.0009	35801	392135	121544	0.0
[N|n] [s|p|t|k|f]	+cor,+nasal -voice,-long	0.0009	14149	40387	184446	0.0
[n|s|p|j|k|h|g|d|w|b|t|r|l|m|f] [k|p|t]	-long -voice,-long,-cont	0.0009	35789	393408	121544	0.0
[n|j|w|r|l|m] [P|D|B|p|G|s|h|K|g|d|b|t|S|F|T|k|f]	-long,+son -son	0.0009	32130	162119	237786	0.0
[n|s|d|t|r|l] [s|p|t|k|f]	+cons,-long,+cor -voice,-long	0.0009	34721	245081	184446	0.0
[n|s|p|k|h|g|d|b|t|r|l|m|f] [P|D|n|B|p|G|k|K|g|d|b|t|M|N|T|m]	+cons,-long -cont	0.0009	48562	378692	234650	0.0
[n|s|j|d|t|r|l] [s|p|t|k|f]	-long,+cor -voice,-long	0.0009	34721	246445	184446	0.0
[n] [P|s|p|K|t|S|F|T|k|f]	-long,+cor,+nasal -voice	0.0009	14160	39661	190670	0.0
[n|R|j|w|L|M|N|r|l|m] [s|p|h|g|d|b|t|k|f]	-syll,+son -long,-son	0.0009	32176	169065	231289	0.0
[s|R|h|t|l|m|p|N|r|F|n|G|K|g|d|b|M|T|k|f|P|D|B|L|S] [P|p|K|t|T|k]	+cons -voice,-cont	0.0009	35802	392135	123710	0.0
[n|m] [p|g|d|b|t|k]	-long,+nasal -long,-son,-cont	0.0009	17016	67374	162719	0.0
[n|s|p|j|k|h|g|d|w|b|t|r|l|m|f] [P|p|K|t|T|k]	-long -voice,-cont	0.0008	35790	393408	123710	0.0
[n|R|L|M|N|r|l|m] [p|g|d|b|t|k]	+cons,+son -long,-son,-cont	0.0008	25661	154349	162719	0.0
